velocity, power, acceleration
6.2893212303311286, 6.0, 617.2657994239721
6.902913545485385, 6.0, 55.78111955948172
5.21553467881118, 6.0, 149.67126430733865
7.82330201821677, 6.0, 256.3168212507249
9.050486648525283, 6.0, 118.3741323727856
10.584467436410925, 6.0, 150.12534624054612
10.891263593988052, 6.0, 29.499630536260398
11.044661672776616, 6.0, 14.705980135035622
11.044661672776616, 6.0, 44.433159830620134
11.504855909142309, 6.0, 43.661692254814184
11.811652066719438, 6.0, 29.296806491322332
13.192234775816514, 6.0, 134.8620405487027
13.499030933393643, 6.0, 29.493958621145364
14.419419406125026, 6.0, 87.90720847480888
15.033011721279284, 6.0, 60.17970921481215
15.493205957644975, 6.0, 44.33897642987523
15.953400194010667, 6.0, 45.17465754055217
17.64077906068487, 6.0, 163.80728731914138
18.56116753341626, 6.0, 90.26956382221857
18.714565612204822, 6.0, 14.595440417560628
19.02136176978195, 6.0, 44.958405272150735
19.174759848570517, 6.0, 60.30984029430931
19.481556006147642, 6.0, 29.51665937820653
20.0951483213019, 6.0, 58.86906986033696
20.401944478879027, 6.0, 29.316403017403736
20.0951483213019, 6.0, 29.94009540130168
20.401944478879027, 6.0, 44.63571642732036
20.708740636456156, 6.0, 30.03388718327616
21.01553679403328, 6.0, 29.53370789152444
21.16893487282185, 6.0, 14.951079803955862
21.475731030398975, 6.0, 44.9803769294937
22.089323345553233, 6.0, 104.57601787299937
21.93592526676467, 6.0, 60.00316009721101
22.396119503130365, 6.0, 42.71737086845175
22.70291566070749, 6.0, 28.370275344657703
22.549517581918927, 6.0, 45.09497661594647
22.70291566070749, 6.0, 14.721504682203872
22.089323345553233, 6.0, 15.050831906256162
22.242721424341795, 6.0, 14.78108294358449
22.089323345553233, 6.0, 15.050831906256162
22.856313739496056, 6.0, 75.27631700292368
23.009711818284618, 6.0, 14.732815865211373
23.46990605465031, 6.0, 44.932067600626574
23.776702212227438, 6.0, 29.650735244722636
