velocity, power
0.0, 7.2000000001537506E-6
0.0, 0.008594160000000102
0.0, 0.011593680000000292
0.0, 0.014227440000000088
0.0, 0.016800719999999957
0.0, 0.01975368000000003
0.0, 0.02231640000000013
0.0, 0.024892559999999977
0.0, 0.02747640000000004
0.0, 0.03004128000000023
0.0, 0.032641200000000196
0.0, 0.0352291200000002
0.0, 0.03779808000000032
0.0, 0.04036535999999998
0.0, 0.04293600000000012
0.0, 0.045613440000000054
0.0, 0.04819440000000015
0.0, 0.05076000000000022
0.0, 0.05334143999999995
0.0, 0.05591472000000024
0.0, 0.05894136000000018
0.0, 0.06154775999999998
0.0, 0.06410783999999993
0.0, 0.06713304000000009
0.0, 0.06971640000000008
0.0, 0.07230456000000032
0.0, 0.0749412000000001
0.0, 0.07851000000000014
0.0, 0.08131440000000012
0.0, 0.08401224000000014
0.0, 0.08660640000000015
0.0, 0.08920031999999992
0.0, 0.09177216000000002
0.0, 0.09903359999999993
0.0, 0.10161239999999991
0.0, 0.10417848000000006
0.0, 0.10734792000000014
0.0, 0.10992407999999998
0.0, 0.11354208000000028
0.0, 0.1172114400000001
0.0, 0.12084456000000017
0.0, 0.12340464000000012
0.0, 0.12605904000000023
0.0, 0.12861816000000004
0.0, 0.13120584000000024
0.0, 0.13377048000000016
0.0, 0.13634688000000025
0.0, 0.1397944800000002
0.0, 0.14239871999999992
0.0, 0.14496888
0.0, 0.14754360000000005
0.0, 0.15068784000000024
0.0, 0.15333911999999972
0.0, 0.15590952000000044
0.0, 0.15848712000000006
0.0, 0.16105608000000018
0.0, 0.1638662400000001
0.0, 0.1664493600000003
0.0, 0.16900848000000052
0.0, 0.1715796000000003
0.0, 0.1741773600000002
0.0, 0.17679575999999997
0.0, 0.17936568000000022
0.0, 0.18293855999999978
0.0, 0.18551376000000033
0.0, 0.18825336000000023
0.0, 0.19123991999999984
0.0, 0.1938302399999998
0.0, 0.19639608000000008
0.0, 0.1989779999999999
0.0, 0.20155440000000002
0.0, 0.2041185600000003
0.0, 0.20778456000000006
0.0, 0.21057840000000028
0.0, 0.21407016
0.0, 0.2166314399999999
0.0, 0.21975671999999974
0.0, 0.22242935999999985
0.0, 0.22543680000000052
0.0, 0.22809240000000014
0.0, 0.23164176000000025
0.0, 0.23438544000000008
0.0, 0.23696112000000027
0.0, 0.23961144000000048
0.0, 0.2421878399999997
0.0, 0.24477648000000046
0.0, 0.24745896000000045
0.0, 0.25003152
0.0, 0.25258872
0.0, 0.2551485600000001
0.0, 0.2577309600000004
0.0, 0.2609536799999998
0.0, 0.2635317599999999
0.0, 0.2660985600000004
0.0, 0.26982624000000044
0.0, 0.27240048
0.0, 0.2750659200000004
0.0, 0.2776077599999999
0.0, 0.2801510400000001
0.0, 0.2827101600000003
0.0, 0.28548144000000036
0.0, 0.2880326400000002
0.0, 0.29057016000000035
0.0, 0.2931151200000005
0.0, 0.2956514400000003
0.0, 0.2981872800000005
0.0, 0.3007703999999998
0.0, 0.30331224000000023
0.0, 0.30584688000000004
0.0, 0.3084808800000005
0.0, 0.3116220000000004
0.0, 0.31415760000000037
0.0, 0.3168535200000005
0.0, 0.31938312000000024
0.0, 0.32192688
0.0, 0.3244610400000002
0.0, 0.32706072000000036
0.0, 0.3295970400000002
0.0, 0.3330739199999999
0.0, 0.33560352000000054
0.0, 0.33817056000000034
0.0, 0.3407460000000003
0.0, 0.34327848000000044
0.0, 0.3458085599999998
0.0, 0.3483451199999999
0.0, 0.35101896000000044
0.0, 0.35356415999999996
0.0, 0.3563184000000004
0.0, 0.3588712800000002
0.0, 0.3614654399999998
0.0, 0.36400968000000006
0.0, 0.36656304000000034
0.0, 0.3691017600000001
0.0, 0.3716318400000003
0.0, 0.37489656000000027
0.0, 0.37743912000000057
0.0, 0.3820324800000003
0.0, 0.38458368000000004
0.0, 0.38769239999999994
0.0, 0.39090528000000035
0.0, 0.39342984000000003
0.0, 0.3959714400000002
0.0, 0.3985164000000003
0.0, 0.4010848799999999
0.0, 0.40364640000000007
0.0, 0.4062480000000005
0.0, 0.4094762400000005
0.0, 0.41296775999999996
0.0, 0.4157527200000004
0.0, 0.41890007999999995
0.0, 0.42195600000000016
0.0, 0.4248038400000004
0.0, 0.4279680000000002
0.0, 0.4305093600000001
0.0, 0.43304903999999994
0.0, 0.4378175999999999
0.0, 0.4403428800000003
0.0, 0.4428796799999998
0.0, 0.445428
0.0, 0.44798927999999993
0.0, 0.45058463999999987
0.0, 0.4546447199999998
0.0, 0.45718871999999977
0.0, 0.45971519999999977
0.0, 0.46227888000000034
0.0, 0.46481807999999974
0.0, 0.4684960799999999
0.0, 0.47103768000000007
0.0, 0.47450976
0.0, 0.48085007999999985
0.0, 0.4833986400000003
0.0, 0.4860187200000001
0.0, 0.48864623999999995
0.0, 0.49122096
0.0, 0.49385496000000045
0.0, 0.49639368000000017
0.0, 0.4989686400000005
0.0, 0.5014970399999998
0.0, 0.5040964799999998
